Customer ID,Age,Gender,Location, Income ,Marital Status,Purchase Frequency (Past 6 Months), Average Order Value ,Preferred Product Categories,Last Purchase Date,Return Rate, Customer Lifetime Value (CLV) , Average Star Rating ,NPS Score,Income,Average Order Value,Customer Lifetime Value (CLV),Average Star Rating
C001855,42,Male, Nashville," 210,000 ",Single,4," 125,000 ",Ring,4/10/2023,0%," 1,000,000 ",3.3,43.87,,,,
C001870,34,Male, Denver," 290,000 ",Single,2," 3,479 ",Bracelet,7/26/2023,0%," 13,916 ",5.7,65.85,,,,
C001882,21,Male, Greensboro," 160,000 ",Married,1," 86,000 ",Armlet,6/21/2023,0%," 258,000 ",5.8,65.29,,,,
C001883,57,Female, Long Beach," 290,000 ",Married,7," 48,000 ",Earrings,4/29/2023,0%," 672,000 ",2.5,37.85,,,,
C001886,50,Female, Fort Worth," 300,000 ",Married,7," 13,000 ",Necklace,7/20/2023,0%," 91,000 ",3.5,47.65,,,,
C002223,36,Male, New York," 110,000 ",Married,2," 61,000 ",Pendant,8/15/2023,0%," 366,000 ",5.7,64.93,,,,
C002281,51,Female, Portland," 250,000 ",Single,3," 129,000 ",Pendant,7/29/2023,0%," 1,548,000 ",4.8,54.21,,,,
C002398,48,Male, Newark," 190,000 ",Married,4," 118,000 ",Jewel,4/16/2023,0%," 944,000 ",3.4,44.73,,,,
C002801,27,Female, Chicago," 180,000 ",Married,3," 146,000 ",Jewel,3/12/2023,0%," 2,190,000 ",3.6,42.52,,,,
C003031,42,Male, Raleigh," 50,000 ",Single,1," 4,000 ",Earrings,5/28/2023,0%," 4,000 ",5.7,65.3,,,,
C003070,57,Male, Detroit," 300,000 ",Single,6," 269,000 ",Pendant,5/24/2023,0%," 1,614,000 ",1.4,26.33,,,,
C003165,40,Female, Seattle," 270,000 ",Married,5," 127,000 ",Earrings,10/11/2023,0%," 3,175,000 ",4.3,45.15,,,,
C003220,24,Female, Wichita," 100,000 ",Single,1," 17,000 ",Earrings,10/12/2023,0%," 34,000 ",6.8,74.23,,,,
C003353,40,Female, Greensboro," 250,000 ",Single,4," 96,000 ",Armlet,3/13/2023,0%," 768,000 ",3.3,43.91,,,,
C003439,49,Male, Atlanta," 200,000 ",Married,5," 149,000 ",Necklace,3/20/2023,9%," 745,000 ",4.7,55.21,,,,
C003539,24,Male, Boston," 110,000 ",Single,2," 50,000 ",Jewel,12/8/2023,1%," 200,000 ",7.0,75.34,,,,
C003888,54,Male, Seattle," 50,000 ",Married,1," 8,000 ",Armlet,6/30/2023,0%," 32,000 ",5.9,67.38,,,,
C004118,56,Female, Cincinnati," 300,000 ",Single,3," 272,000 ",Armlet,6/16/2023,0%," 816,000 ",3.9,48.79,,,,
C004312,58,Male, Raleigh," 130,000 ",Married,1," 39,000 ",Ring,11/10/2023,0%," 156,000 ",7.0,75.59,,,,
C004337,42,Male, Raleigh," 120,000 ",Single,1," 95,000 ",Ring,7/25/2023,0%," 285,000 ",6.0,67.39,,,,
C004551,51,Female, Fresno," 90,000 ",Married,2," 43,000 ",Bracelet,8/8/2023,0%," 258,000 ",5.7,65.16,,,,
C004598,34,Male, Raleigh," 180,000 ",Married,1," 131,000 ",Armlet,11/18/2023,0%," 262,000 ",6.9,74.82,,,,
C004696,56,Female, San Francisco," 80,000 ",Single,2," 2,000 ",Pendant,11/3/2023,1%," 16,000 ",6.8,74.56,,,,
C004728,53,Female, Minneapolis," 180,000 ",Single,2," 154,000 ",Necklace,5/14/2023,4%," 616,000 ",5.7,63.98,,,,
C004810,54,Female, Boston," 110,000 ",Married,1," 72,000 ",Earrings,6/1/2023,9%," 144,000 ",7.9,82.43,,,,
C004815,27,Female, Albuquerque," 90,000 ",Married,2," 48,000 ",Pendant,5/20/2023,0%," 480,000 ",5.1,59.07,,,,
C004959,21,Male, Colorado Springs," 170,000 ",Single,2," 25,000 ",Earrings,7/7/2023,0%," 50,000 ",5.5,64.01,,,,
C005107,42,Female, Milwaukee," 300,000 ",Married,2," 218,000 ",Ring,4/21/2023,0%," 436,000 ",4.4,53.58,,,,
C005125,36,Male, Phoenix," 100,000 ",Married,2," 62,000 ",Jewel,9/23/2023,0%," 372,000 ",6.1,67.5,,,,
C005177,43,Female, Oklahoma City," 100,000 ",Single,1," 71,000 ",Bracelet,11/3/2023,0%," 71,000 ",6.9,75.01,,,,
C005225,35,Male, Miami," 60,000 ",Single,1," 20,000 ",Necklace,6/9/2023,0%," 100,000 ",5.7,65.65,,,,
C005454,45,Male, Fort Worth," 90,000 ",Married,2," 41,000 ",Bracelet,6/16/2023,0%," 328,000 ",5.3,61.46,,,,
C005644,57,Male, Fresno," 260,000 ",Married,1," 199,000 ",Necklace,9/1/2023,3%," 995,000 ",7.0,72.77,,,,
C005657,45,Female, Kansas City," 120,000 ",Married,3," 90,000 ",Ring,10/11/2023,0%," 1,080,000 ",5.6,61.77,,,,
C005736,29,Female, Louisville," 200,000 ",Married,4," 105,000 ",Earrings,3/10/2023,0%," 420,000 ",3.2,44.32,,,,
C005757,59,Male, Nashville," 240,000 ",Married,6," 238,000 ",Locket,8/8/2023,0%," 4,284,000 ",2.3,25.78,,,,
C005941,53,Female, Tampa," 260,000 ",Married,2," 2,441 ",Earrings,12/12/2023,0%," 4,882 ",6.9,75.2,,,,
C005947,52,Male, Fort Worth," 130,000 ",Single,2," 9,000 ",Earrings,6/17/2023,0%," 90,000 ",5.4,62.9,,,,
C006274,55,Female, Tucson," 90,000 ",Married,1," 47,000 ",Necklace,3/31/2023,0%," 141,000 ",5.1,60.56,,,,
C006655,46,Male, Wichita," 50,000 ",Single,1," 6,000 ",Pendant,3/18/2023,0%," 18,000 ",5.1,60.49,,,,
C006805,41,Female, Raleigh," 230,000 ",Single,4," 1,141 ",Necklace,12/22/2023,0%," 13,692 ",6.2,69.18,,,,
C006816,34,Female, Philadelphia," 290,000 ",Single,3," 246,000 ",Locket,11/30/2023,0%," 1,476,000 ",5.4,58.91,,,,
C006949,33,Male, Oklahoma City," 280,000 ",Married,7," 63,000 ",Locket,8/30/2023,1%," 882,000 ",3.6,46.34,,,,
C006990,25,Male, Fresno," 60,000 ",Single,1," 6,000 ",Necklace,10/15/2023,0%," 6,000 ",6.8,74.63,,,,
C007020,30,Male, Sacramento," 220,000 ",Single,2," 117,000 ",Locket,7/29/2023,3%," 1,170,000 ",6.2,66.28,,,,
C007038,55,Female, Sacramento," 300,000 ",Single,1," 82,000 ",Jewel,8/13/2023,0%," 410,000 ",6.2,68.44,,,,
C007040,37,Female, Omaha," 300,000 ",Married,2," 186,000 ",Armlet,9/6/2023,0%," 1,860,000 ",5.6,59.42,,,,
C007105,45,Female, Denver," 260,000 ",Married,1," 258,000 ",Armlet,10/24/2023,0%," 774,000 ",6.6,70.31,,,,
C007208,55,Male, Tucson," 240,000 ",Married,4," 20,000 ",Pendant,5/6/2023,0%," 80,000 ",4.1,52.78,,,,
C007248,50,Male, Orlando," 90,000 ",Single,2," 71,000 ",Jewel,12/11/2023,0%," 426,000 ",6.7,72.44,,,,
C007286,41,Male, Raleigh," 60,000 ",Married,1," 29,000 ",Earrings,4/16/2023,0%," 116,000 ",5.3,61.9,,,,
C007487,53,Male, Tulsa," 290,000 ",Married,4," 241,000 ",Necklace,9/2/2023,0%," 3,856,000 ",3.9,40.36,,,,
C007658,52,Male, Columbus," 170,000 ",Single,1," 113,000 ",Jewel,7/14/2023,0%," 226,000 ",5.9,66.62,,,,
C007864,46,Male, San Antonio," 60,000 ",Married,1," 44,000 ",Locket,8/23/2023,0%," 132,000 ",6.3,70.32,,,,
C008115,27,Female, Memphis," 60,000 ",Married,1," 2,686 ",Armlet,4/23/2023,0%," 2,686 ",5.4,62.97,,,,
C008210,25,Female, Philadelphia," 180,000 ",Single,2," 141,000 ",Bracelet,11/22/2023,0%," 1,128,000 ",6.4,67.64,,,,
C008215,35,Male, Fort Worth," 280,000 ",Single,3," 65,000 ",Necklace,3/19/2023,0%," 390,000 ",4.0,50.78,,,,
C008248,33,Female, Riverside," 230,000 ",Single,3," 222,000 ",Ring,4/21/2023,0%," 1,998,000 ",3.6,43.28,,,,
C008364,21,Male, San Antonio," 210,000 ",Married,2," 2,825 ",Locket,10/1/2023,5%," 22,600 ",7.5,80.32,,,,
C008561,20,Male, San Diego," 80,000 ",Married,2," 31,000 ",Necklace,4/13/2023,0%," 62,000 ",4.8,58.16,,,,
C008677,41,Male, Wichita," 230,000 ",Married,2," 160,000 ",Necklace,9/14/2023,3%," 960,000 ",6.5,69.1,,,,
C008874,38,Female, Indianapolis," 60,000 ",Single,1," 56,000 ",Pendant,4/1/2023,0%," 280,000 ",5.1,60.13,,,,
C009010,43,Male, Tucson," 70,000 ",Married,1," 12,000 ",Necklace,11/4/2023,2%," 48,000 ",7.5,79.79,,,,
C009077,60,Male, Philadelphia," 200,000 ",Married,2," 79,000 ",Earrings,11/30/2023,0%," 632,000 ",6.6,70.94,,,,
C009141,18,Female, Albuquerque," 130,000 ",Single,1," 24,000 ",Ring,6/24/2023,0%," 48,000 ",5.9,66.76,,,,
C009375,22,Female, Sacramento," 270,000 ",Single,5," 178,000 ",Bracelet,8/17/2023,0%," 3,560,000 ",3.5,37.61,,,,
C009481,27,Male, Albuquerque," 170,000 ",Single,3," 145,000 ",Armlet,5/1/2023,0%," 435,000 ",4.0,50.92,,,,
C009665,49,Male, Raleigh," 60,000 ",Married,1," 45,000 ",Necklace,9/28/2023,0%," 45,000 ",6.6,72.96,,,,
C009724,60,Male, Long Beach," 170,000 ",Married,1," 125,000 ",Ring,8/2/2023,0%," 625,000 ",6.1,66.62,,,,
C009756,44,Male, Raleigh," 240,000 ",Single,5," 15,000 ",Armlet,6/7/2023,0%," 225,000 ",4.0,51.23,,,,
C009790,53,Male, Newark," 100,000 ",Married,1," 20,000 ",Armlet,11/26/2023,0%," 60,000 ",7.2,77.14,,,,
C009813,36,Female, Atlanta," 170,000 ",Single,4," 2,887 ",Earrings,11/16/2023,0%," 34,644 ",5.8,66.63,,,,
C010098,39,Female, Wichita," 120,000 ",Married,1," 115,000 ",Bracelet,6/11/2023,0%," 575,000 ",5.6,63.4,,,,
C010167,19,Male, Austin," 80,000 ",Single,2," 43,000 ",Locket,4/27/2023,0%," 86,000 ",4.9,58.77,,,,
C010222,30,Female, Tampa," 240,000 ",Married,2," 129,000 ",Ring,9/27/2023,7%," 258,000 ",7.7,80.65,,,,
C010348,28,Male, Dallas," 170,000 ",Single,4," 136,000 ",Ring,7/11/2023,0%," 2,176,000 ",4.1,46.18,,,,
C010361,60,Male, Milwaukee," 280,000 ",Single,7," 264,000 ",Locket,11/19/2023,0%," 3,696,000 ",2.1,26.47,,,,
C010662,53,Female, Tulsa," 210,000 ",Married,3," 50,000 ",Bracelet,6/17/2023,0%," 150,000 ",4.8,57.97,,,,
C010861,18,Male, Riverside," 50,000 ",Single,1," 42,000 ",Necklace,12/6/2023,0%," 126,000 ",7.2,77.38,,,,
C010939,22,Male, Orlando," 290,000 ",Single,1," 213,000 ",Pendant,5/1/2023,2%," 1,065,000 ",5.7,62.19,,,,
C010957,42,Male, Phoenix," 120,000 ",Single,2," 6,000 ",Earrings,7/31/2023,0%," 36,000 ",5.8,66.07,,,,
C011159,18,Female, Cincinnati," 200,000 ",Married,2," 100,000 ",Armlet,7/7/2023,0%," 200,000 ",5.3,61.96,,,,
C011278,32,Male, Pittsburgh," 270,000 ",Married,5," 134,000 ",Earrings,12/20/2023,0%," 2,010,000 ",4.8,52.79,,,,
C011473,50,Female, Austin," 220,000 ",Single,2," 174,000 ",Armlet,8/4/2023,0%," 1,740,000 ",5.4,57.82,,,,
C011586,45,Male, Minneapolis," 90,000 ",Single,2," 70,000 ",Earrings,11/16/2023,0%," 280,000 ",6.5,71.21,,,,
C011663,27,Male, Houston," 210,000 ",Married,2," 170,000 ",Jewel,9/27/2023,0%," 1,360,000 ",5.8,62.6,,,,
C011728,19,Female, El Paso," 300,000 ",Single,7," 174,000 ",Jewel,12/20/2023,0%," 6,090,000 ",3.2,28.51,,,,
C011999,19,Female, New York," 140,000 ",Married,1," 110,000 ",Bracelet,3/9/2023,0%," 220,000 ",4.9,58.18,,,,
C012175,49,Male, Indianapolis," 80,000 ",Married,1, 582 ,Necklace,5/29/2023,0%," 2,910 ",5.7,65.4,,,,
C012246,24,Female, Charlotte," 200,000 ",Married,4," 143,000 ",Bracelet,5/16/2023,0%," 1,716,000 ",3.5,43.44,,,,
C012300,37,Female, Houston," 280,000 ",Married,5," 194,000 ",Bracelet,9/6/2023,0%," 970,000 ",3.5,45.5,,,,
C012375,25,Male, Oklahoma City," 280,000 ",Married,5," 85,000 ",Necklace,5/4/2023,0%," 850,000 ",3.2,43.38,,,,
C012462,18,Male, Nashville," 210,000 ",Single,2," 92,000 ",Necklace,8/17/2023,0%," 368,000 ",5.7,64.39,,,,
C012481,33,Male, Oklahoma City," 280,000 ",Married,2," 29,000 ",Jewel,4/30/2023,0%," 116,000 ",4.9,59.19,,,,
C012667,34,Male, Virginia Beach," 260,000 ",Married,2," 103,000 ",Pendant,4/20/2023,0%," 618,000 ",4.7,55.48,,,,
C012772,47,Female, Columbus," 60,000 ",Single,1, 770 ,Jewel,9/20/2023,0%," 2,310 ",6.6,73.03,,,,
C013035,38,Male, Riverside," 190,000 ",Married,4," 88,000 ",Armlet,8/6/2023,0%," 1,056,000 ",4.5,53.2,,,,
C013086,24,Female, Mesa," 190,000 ",Married,2," 145,000 ",Necklace,12/15/2023,0%," 580,000 ",6.5,70.66,,,,
C013091,50,Male, Charlotte," 200,000 ",Single,2," 135,000 ",Necklace,3/25/2023,8%," 1,080,000 ",6.4,67.72,,,,
C013092,30,Male, Phoenix," 250,000 ",Single,1," 1,644 ",Necklace,12/10/2023,0%," 3,288 ",7.3,78.43,,,,
C013153,58,Female, Houston," 160,000 ",Married,1," 85,000 ",Necklace,3/20/2023,3%," 255,000 ",5.7,65.09,,,,
C013331,28,Male, Houston," 160,000 ",Single,2," 90,000 ",Locket,3/16/2023,0%," 360,000 ",4.4,54.16,,,,
C013358,40,Female, Fort Worth," 250,000 ",Married,5," 49,000 ",Ring,8/1/2023,0%," 1,225,000 ",4.2,50.21,,,,
C013518,55,Male, Norfolk," 100,000 ",Married,1," 28,000 ",Ring,7/22/2023,0%," 112,000 ",6.1,68.41,,,,
C013704,38,Female, San Antonio," 270,000 ",Married,2," 20,000 ",Necklace,7/29/2023,0%," 40,000 ",5.7,65.62,,,,
C013765,24,Male, Minneapolis," 290,000 ",Married,5," 114,000 ",Earrings,7/18/2023,0%," 570,000 ",3.7,47.63,,,,
C014004,53,Male, Wichita," 100,000 ",Single,1," 9,000 ",Necklace,4/4/2023,0%," 36,000 ",5.2,61.54,,,,
C014316,21,Male, Orlando," 290,000 ",Married,3," 249,000 ",Ring,3/15/2023,0%," 3,735,000 ",3.2,34.95,,,,
C014473,57,Female, Fresno," 300,000 ",Single,1," 213,000 ",Armlet,9/2/2023,1%," 1,065,000 ",6.4,68.48,,,,
C014709,21,Male, Fresno," 270,000 ",Married,4," 115,000 ",Bracelet,5/22/2023,0%," 1,380,000 ",3.7,46.02,,,,
C014777,24,Female, San Antonio," 140,000 ",Married,3," 133,000 ",Necklace,12/19/2023,0%," 798,000 ",6.0,65.79,,,,
C014856,49,Female, Charlotte," 50,000 ",Single,1," 23,000 ",Locket,9/13/2023,2%," 23,000 ",7.0,76.26,,,,
C014950,49,Female, Philadelphia," 120,000 ",Married,1," 34,000 ",Armlet,12/30/2023,0%," 34,000 ",7.4,79.33,,,,
C015059,25,Male, Minneapolis," 60,000 ",Married,1," 48,000 ",Necklace,11/26/2023,0%," 48,000 ",7.1,76.87,,,,
C015163,39,Male, San Antonio," 90,000 ",Single,2," 71,000 ",Necklace,8/6/2023,0%," 426,000 ",5.6,63.94,,,,
C015302,48,Male, Columbus," 130,000 ",Married,3," 103,000 ",Ring,6/6/2023,0%," 309,000 ",4.5,55.06,,,,
C015348,41,Female, Newark," 220,000 ",Married,1," 11,000 ",Armlet,4/28/2023,0%," 44,000 ",5.4,63.1,,,,
C015365,50,Female, Philadelphia," 160,000 ",Single,3," 57,000 ",Ring,8/14/2023,0%," 171,000 ",5.3,61.56,,,,
C015414,49,Male, San Antonio," 270,000 ",Single,6," 78,000 ",Bracelet,4/23/2023,0%," 936,000 ",2.7,38.6,,,,
C015419,50,Female, Boston," 250,000 ",Single,3," 8,000 ",Bracelet,11/11/2023,0%," 96,000 ",6.2,69.32,,,,
C015456,22,Female, Sacramento," 130,000 ",Married,3," 72,000 ",Locket,8/2/2023,0%," 432,000 ",5.1,59.52,,,,
C015463,22,Male, Fresno," 180,000 ",Single,4," 71,000 ",Earrings,10/5/2023,0%," 852,000 ",5.1,58.53,,,,
C015582,36,Male, Los Angeles," 50,000 ",Single,1," 16,000 ",Locket,10/17/2023,7%," 64,000 ",8.6,88.49,,,,
C015586,44,Male, Detroit," 190,000 ",Single,1," 22,000 ",Necklace,3/11/2023,0%," 88,000 ",5.0,59.64,,,,
C015839,35,Female, Albuquerque," 160,000 ",Married,2," 29,000 ",Earrings,11/17/2023,0%," 58,000 ",6.6,72.8,,,,
C015914,43,Female, El Paso," 270,000 ",Married,6," 235,000 ",Ring,5/13/2023,0%," 2,820,000 ",1.6,24.35,,,,
C015997,30,Male, San Antonio," 50,000 ",Single,1," 38,000 ",Earrings,5/8/2023,6%," 76,000 ",7.0,75.38,,,,
C016046,54,Female, Portland," 70,000 ",Married,1," 1,000 ",Jewel,7/2/2023,0%," 2,000 ",6.0,67.68,,,,
C016175,25,Male, San Jose," 300,000 ",Single,4," 299,000 ",Bracelet,5/21/2023,0%," 1,196,000 ",2.7,38.51,,,,
C016244,38,Female, Oklahoma City," 240,000 ",Married,5," 89,000 ",Jewel,9/6/2023,10%," 445,000 ",6.7,72.68,,,,
C016286,51,Male, San Jose," 150,000 ",Married,2," 72,000 ",Necklace,10/7/2023,0%," 144,000 ",6.2,68.88,,,,
C016378,24,Female, Dallas," 110,000 ",Single,2," 8,000 ",Ring,4/14/2023,0%," 32,000 ",4.9,58.81,,,,
C016505,18,Female, Fort Worth," 290,000 ",Married,4," 4,267 ",Bracelet,10/21/2023,0%," 85,340 ",5.6,64.69,,,,
C016649,47,Female, St Louis," 270,000 ",Single,1," 118,000 ",Jewel,12/2/2023,0%," 354,000 ",7.1,75.64,,,,
C016660,54,Female, Milwaukee," 170,000 ",Single,4," 72,000 ",Bracelet,11/13/2023,0%," 1,440,000 ",5.4,59.41,,,,
C016739,22,Female, Jacksonville," 190,000 ",Single,1," 167,000 ",Locket,8/11/2023,0%," 501,000 ",6.1,67.13,,,,
C016896,42,Male, Orlando," 140,000 ",Single,1," 82,000 ",Jewel,4/10/2023,0%," 246,000 ",5.2,60.55,,,,
C016987,42,Male, Cincinnati," 180,000 ",Married,1," 63,000 ",Ring,5/4/2023,0%," 189,000 ",5.4,62.52,,,,
C016999,32,Male, San Francisco," 140,000 ",Married,2," 56,000 ",Locket,10/7/2023,0%," 336,000 ",6.2,68.67,,,,
C017086,44,Female, Atlanta," 230,000 ",Married,5," 31,000 ",Jewel,5/31/2023,0%," 620,000 ",3.8,48.77,,,,
C017091,21,Male, Louisville," 180,000 ",Single,1," 115,000 ",Earrings,3/14/2023,2%," 460,000 ",5.4,61.77,,,,
C017206,42,Female, Wichita," 110,000 ",Single,2," 84,000 ",Armlet,9/19/2023,0%," 504,000 ",6.0,66.38,,,,
C017228,57,Female, St Louis," 160,000 ",Married,2," 120,000 ",Ring,5/7/2023,8%," 480,000 ",6.8,72.64,,,,
C017245,29,Male, Oklahoma City," 200,000 ",Married,2," 3,634 ",Armlet,8/22/2023,0%," 36,340 ",6.0,67.59,,,,
C017460,21,Male, Long Beach," 160,000 ",Single,2," 139,000 ",Earrings,4/20/2023,0%," 1,112,000 ",4.6,53.28,,,,
C017491,18,Female, Minneapolis," 270,000 ",Married,2," 8,000 ",Armlet,10/14/2023,0%," 32,000 ",6.4,71.05,,,,
C017543,20,Male, San Antonio," 70,000 ",Single,1," 67,000 ",Bracelet,8/18/2023,0%," 268,000 ",6.3,69.34,,,,
C017705,34,Male, Dallas," 50,000 ",Single,1," 5,000 ",Pendant,8/12/2023,0%," 25,000 ",6.3,70.31,,,,
C017715,28,Female, Mesa," 80,000 ",Married,2," 2,204 ",Necklace,8/22/2023,0%," 13,224 ",6.0,67.68,,,,
C017794,29,Female, Dallas," 150,000 ",Married,2," 89,000 ",Armlet,6/27/2023,0%," 178,000 ",5.3,61.59,,,,
C017928,37,Male, New York," 110,000 ",Single,2," 16,000 ",Pendant,8/18/2023,0%," 160,000 ",5.9,66.7,,,,
C017998,39,Male, Memphis," 90,000 ",Single,2," 69,000 ",Locket,11/9/2023,1%," 552,000 ",6.7,71.98,,,,
C018208,60,Male, Charlotte," 160,000 ",Married,1," 21,000 ",Armlet,10/7/2023,0%," 42,000 ",6.7,73.83,,,,
C018287,19,Male, Tulsa," 50,000 ",Married,1," 43,000 ",Ring,7/25/2023,0%," 129,000 ",6.1,68.4,,,,
C018342,20,Male, San Antonio," 260,000 ",Single,2," 107,000 ",Bracelet,11/24/2023,0%," 856,000 ",6.5,69.29,,,,
C018365,45,Female, Boston," 180,000 ",Single,2," 123,000 ",Locket,7/30/2023,0%," 246,000 ",5.4,62.87,,,,
C018447,40,Male, Miami," 220,000 ",Married,2," 210,000 ",Pendant,6/8/2023,0%," 1,260,000 ",4.8,54.6,,,,
C018453,19,Female, Detroit," 120,000 ",Married,2," 10,000 ",Earrings,7/6/2023,0%," 100,000 ",5.6,64.12,,,,
C018454,18,Female, Raleigh," 60,000 ",Married,1," 16,000 ",Necklace,7/15/2023,4%," 48,000 ",7.0,76.25,,,,
C018494,41,Male, San Antonio," 180,000 ",Married,4," 39,000 ",Necklace,9/1/2023,1%," 468,000 ",5.3,60.74,,,,
C018513,47,Male, Los Angeles," 190,000 ",Married,2," 12,000 ",Pendant,3/16/2023,0%," 120,000 ",4.6,56.53,,,,
C018554,35,Male, Dallas," 190,000 ",Single,1," 34,000 ",Armlet,9/13/2023,0%," 34,000 ",6.5,72.11,,,,
C018580,32,Male, Memphis," 220,000 ",Married,3," 171,000 ",Earrings,7/13/2023,0%," 513,000 ",4.5,54.74,,,,
C018701,45,Male, Omaha," 240,000 ",Married,1," 166,000 ",Armlet,12/12/2023,0%," 830,000 ",7.1,74.42,,,,
C018803,29,Male, Detroit," 150,000 ",Single,3," 3,878 ",Armlet,7/4/2023,0%," 46,536 ",5.1,60.9,,,,
C018806,57,Female, Louisville," 220,000 ",Single,5," 73,000 ",Necklace,5/10/2023,0%," 730,000 ",3.4,44.77,,,,
C018813,31,Male, Kansas City," 150,000 ",Single,1," 58,000 ",Bracelet,7/28/2023,0%," 116,000 ",6.1,68.47,,,,
C018889,53,Female, Albuquerque," 50,000 ",Married,1," 42,000 ",Necklace,4/13/2023,0%," 126,000 ",5.2,61.53,,,,
C018932,37,Male, Norfolk," 290,000 ",Married,3," 206,000 ",Earrings,1/2/2024,0%," 1,854,000 ",5.8,61.34,,,,
C018962,22,Female, Columbus," 240,000 ",Single,2," 154,000 ",Pendant,12/30/2023,0%," 616,000 ",6.6,71.37,,,,
C018997,19,Male, Minneapolis," 150,000 ",Married,2," 130,000 ",Armlet,10/16/2023,0%," 260,000 ",6.1,67.89,,,,
C019078,23,Male, San Francisco," 90,000 ",Single,2," 16,000 ",Necklace,11/28/2023,5%," 128,000 ",8.0,83.61,,,,
C019486,41,Male, St Louis," 60,000 ",Married,1," 5,000 ",Jewel,4/23/2023,0%," 5,000 ",5.4,62.94,,,,
C019579,55,Male, Riverside," 300,000 ",Married,4," 152,000 ",Necklace,6/17/2023,0%," 2,432,000 ",3.8,43.14,,,,
C019795,18,Female, Minneapolis," 60,000 ",Married,1," 49,000 ",Earrings,9/27/2023,0%," 98,000 ",6.6,72.7,,,,
C019949,46,Female, Atlanta," 160,000 ",Married,4," 131,000 ",Necklace,10/3/2023,0%," 2,096,000 ",4.8,52.24,,,,
C019984,50,Female, Norfolk," 120,000 ",Single,1," 60,000 ",Locket,9/17/2023,0%," 300,000 ",6.5,71.33,,,,
C020023,32,Male, Los Angeles," 50,000 ",Married,1," 20,000 ",Jewel,10/17/2023,0%," 60,000 ",6.8,74.46,,,,
C020098,58,Male, Memphis," 240,000 ",Married,3," 106,000 ",Ring,7/11/2023,0%," 954,000 ",4.8,55.45,,,,
C020295,59,Male, Philadelphia," 300,000 ",Single,3," 114,000 ",Bracelet,4/1/2023,0%," 342,000 ",3.9,50.19,,,,
C020613,57,Female, Tampa," 240,000 ",Single,1," 221,000 ",Jewel,10/28/2023,0%," 884,000 ",6.6,70.66,,,,
C020646,25,Female, Wichita," 210,000 ",Married,1," 1,812 ",Jewel,5/29/2023,0%," 3,624 ",5.7,65.39,,,,
